videoId,channelTitle,title,description,denialism,conspiracy,URL
-N825TxWaiY,greenactionjapan,No1.脱温暖化社会-G8に向けて日本は何をするべきか-,"脱温暖化社会G8に向けて日本は何をするべきか？

講演：鮎川ゆりか（WWFジャパン　気候変動特別顧問）

主催：グリーン・アクション

後援：気候ネットワーク

2008年4月26日（土）京都府総合福祉会館ハートピア京都



地球の温暖化は深刻な問題です。

これからの5−10年間に緊急の行動が必要であることが示されています。

しかし、日本の温暖化効果ガスの排出量は減少しておらず、依然として上昇している。

こういう状況の中、はたして今年の夏に開かれるG8に向けて日本はリーダーシップを取れるのであろうか？

鮎川ゆりかさんが、緊急に迫る問題点と日本の果たすべき役割についてお話しています。



講演資料は、グリーン・アクションホームページで公開しています。

http://www.greenaction-japan.org/",0.0,0.0,https://www.youtube.com/watch?v=-N825TxWaiY
-m5Nk8mWtlc,FoEJapan,フォーラム１：part3「バイオ燃料は気候変動対策か？」,5月21、22日、東京・JICA地球ひろばにおいて行われた、国際環境NGO FoE Japan、地球・人間環境フォーラム、NPO法人バイオマス産業社会ネットワーク主催の「G8環境大臣会合に向けた国際市民フォーラム〜バイオ燃料・森林減少防止は気候変動対策となるか？〜先進国の役割と責任」からの抜粋とそれに関する緊急提言,0.0,0.0,https://www.youtube.com/watch?v=-m5Nk8mWtlc
0z0zor4re9M,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part8-2　米国 ＣＡ ハリウッド,『SOS 気候変動国際会議Part8-2　2008年7月26日(土)　　米国 ＣＡ ハリウッド』,0.0,0.0,https://www.youtube.com/watch?v=0z0zor4re9M
17BjJvTwbyw,-BERSERK HAWKWIND,人類ではなく自然が気候を支配する（1/2）－フレッド・シンガー,『地球温暖化は止まらない』の著者の一人であり、『地球温暖化詐欺』にも出演したフレッド・シンガー博士が、２００８年３月、米ニューヨークのＮＩＰＣＣ（気候変動に関する非政府間の国際間パネル）にて行ったプレゼンテーションです。ＣＯ２による温室効果ガス・人為説を完全論破しています。,1.0,0.0,https://www.youtube.com/watch?v=17BjJvTwbyw
1JUtUgyntxI,kodanshamoura,Mopix小池百合子元環境大臣インタビュー,"http://mopix.moura.jp/?p=541

グリーンウィーク代表小池百合子元環境大臣にインタビュー。",0.0,0.0,https://www.youtube.com/watch?v=1JUtUgyntxI
1LpTKOvYhTQ,greenactionjapan,No7.脱温暖化社会-G8に向けて日本は何をするべきか-,"脱温暖化社会G8に向けて日本は何をするべきか？

講演：鮎川ゆりか（WWFジャパン　気候変動特別顧問）

主催：グリーン・アクション

後援：気候ネットワーク

2008年4月26日（土）京都府総合福祉会館ハートピア京都



地球の温暖化は深刻な問題です。

これからの5−10年間に緊急の行動が必要であることが示されています。

しかし、日本の温暖化効果ガスの排出量は減少しておらず、依然として上昇している。

こういう状況の中、はたして今年の夏に開かれるG8に向けて日本はリーダーシップを取れるのであろうか？

鮎川ゆりかさんが、緊急に迫る問題点と日本の果たすべき役割についてお話しています。



講演資料は、グリーン・アクションホームページで公開しています。

http://www.greenaction-japan.org/",0.0,0.0,https://www.youtube.com/watch?v=1LpTKOvYhTQ
22IjztBqGbc,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part8-5 米国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part8-5 　2008年7月26日(土)　

米国 ＣＡ ハリウッド』",0.0,0.0,https://www.youtube.com/watch?v=22IjztBqGbc
2FBgKQXWesc,-BERSERK HAWKWIND,地球温暖化詐欺アメリカ版（ＣＮＮ）／正体暴露－脅迫の気候（１／７）,"２００７年５月２日、月米ＣＮＮのゴールデン・タイム・キャスター、グレン・ベックによる地球温暖化の欺瞞を暴くスペシャル番組が行われました。



地球温暖化問題の疑惑を暴露するドキュメンタリーとして、最近ではイギリスＢＢＣによる地球温暖化詐欺＝The Great Global Warming Swindleが話題になりましたが、実は米でも直後に同様の報道がなされていました。



日本との報道事情のギャップをご体感ください。



この１番目のクリップでは、実は京都議定書にはジョージ・ブッシュだけでなく、アル・ゴアでさえも批准しなかった理由や、そのこの協定自体の無意味さが説明されています。



＊補足：2:47で『京都の事で怒っている』と訳していますが、『この人たちは、純粋な怒り、以外の理由があるのでは？』と解釈するのがよりしっくり来ます（2009/9/21）。",1.0,1.0,https://www.youtube.com/watch?v=2FBgKQXWesc
4-YLpC7wzx4,スプリームマスターテレビジョン・ジャパン 旧,SOS 気候変動国際会議Part 2-4米 国 ＣＡ ハリウッド,"『SOS 気候変動国際会議Part 2-4　2008年7月26日(土)　米国 ＣＡ ハリウッド』2008/8/19放送

米国畜産業の実態を暴いたマッドカウボーイことハワードライマン氏の興味深いスピーチ",0.0,0.0,https://www.youtube.com/watch?v=4-YLpC7wzx4
4Co6wtEEmdE,-BERSERK HAWKWIND,スベンスマルク-雲の神秘（2/5）-地球温暖化の真犯人は雲、宇宙線、太陽,"気候変動、地球温暖化の主因は二酸化炭素ＣＯ２ではありません。気候変動の新理論＝宇宙気候学を発足させた、デンマークの宇宙物理学者ヘンリク・スベンスマーク氏らのドキュメンタリーです。スベンスマーク氏が宇宙線と雲の関係を提唱しはじめた１９

９０年代後半から、その軌跡を追った内容となっています。このクリップ2/5以降より、地球温暖化詐欺にも出演したニアー・シャヴィーヴ教授も登場します。



＊この『雲の神秘』では、その制作にあたりデンマーク科学省からの費用の提供も受けています。",1.0,0.6,https://www.youtube.com/watch?v=4Co6wtEEmdE
